ISSN,DOI,authors,year,title,journal,URL,citations,impact_factor_rank,category,year_for_citations_by_year,citations_per_year,more_than_20_citations_per_year,more_than_25_citations_per_year,more_than_30_citations_per_year
2397-3374,10.1038/s41562-020-01007-2,Jones; DeBruine; Flake; Liuzza; Antfolk; Arinze; Ndukaihe; Bloxsom; Lewis; Foroni; Willis; Cubillas; Vadillo; Turiegano; Gilead; Simchon; Saribay; Owsley; Jang; Mburu; Calvillo; Wlodarczyk; Qi; Ariyabuddhiphongs; Jarukasemthawee; Manley; Suavansri; Taephant; Stolier; Evans; Bonick; Lindemans; Ashworth; Hahn; Chevallier; Kapucu; Karaaslan; Leongómez; Sánchez; Valderrama; Vásquez-Amézquita; Hajdu; Aczel; Szecsi; Andreychik; Musser; Batres; Hu; Liu; Legate; Vaughn; Barzykowski; Golik; Schmid; Stieger; Artner; Mues; Vanpaemel; Jiang; Wu; Marcu; Stephen; Lu; Philipp; Arnal; Hehman; Xie; Chopik; Seehuus; Azouaghe; Belhaj; Elouafa; Wilson; Kruse; Papadatou-Pastou; De La Rosa-Gómez; Barba-Sánchez; González-Santoyo; Hsu; Kung; Wang; Freeman; Oh; Schei; Sverdrup; Levitan; Cook; Chandel; Kujur; Parganiha; Parveen; Pati; Pradhan; Singh; Pande; Bavolar; Kačmár; Zakharov; Álvarez-Solas; Baskin; Thirkettle; Schmidt; Christopherson; Leonis; Suchow; Olofsson; Jernsäther; Lee; Beaudry; Gogan; Oldmeadow; Balas; Stevens; Colloff; Flowe; Gülgöz; Brandt; Hoyer; Jaeger; Ren; Sleegers; Wissink; Kaminski; Floerke; Urry; Chen; Pfuhl; Vally; Basnight-Brown; Jzerman; Sarda; Neyroud; Badidi; Van der Linden; Tan; Kovic; Sampaio; Ferreira; Santos; Burin; Gardiner; Protzko; Schild; Ścigała; Zettler; O’Mara Kunz; Storage; Wagemans; Saunders; Sirota; Sloane; Lima; Uittenhove; Vergauwe; Jaworska; Stern; Ask; van Zyl; Körner; Weissgerber; Boudesseul; Ruiz-Dodobara; Ritchie; Michalak; Blake; White; Gordon-Finlayson; Anne; Janssen; Lee; Nielsen; Tamnes; Zickfeld; Rosa; Vianello; Kocsor; Kozma; Putz; Tressoldi; Irrazabal; Chatard; Lins; Pinto; Lutz; Adamkovic; Babincak; Baník; Ropovik; Coetzee; Dixson; Ribeiro; Peters; Steffens; Tan; Thorstenson; Fernandez; Hsu; Valentova; Varella; Corral-Frías; Frías-Armenta; Hatami; Monajem; Sharifian; Frohlich; Lin; Inzlicht; Alaei; Rule; Lamm; Pronizius; Voracek; Olsen; Giolla; Akgoz; Özdoğru; Crawford; Bennett-Day; Koehn; Okan; Gill; Miller; Dunham; Yang; Alper; Borras-Guevara; Cai; Tiantian; Danvers; Feinberg; Armstrong; Gilboa-Schechtman; McCarthy; Muñoz-Reyes; Polo; Shiramazu; Yan; Carvalho; Forscher; Chartier; Coles,2021,To which world regions does the valence–dominance model of social perception apply?,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-01007-2,101,1,"PSYCHOLOGY, EXPERIMENTAL",2021,25.25,TRUE,TRUE,FALSE
2397-3374,10.1038/s41562-020-01024-1,Alvarez-Rodriguez; Battiston; de Arruda; Moreno; Perc; Latora,2021,Evolutionary dynamics of higher-order interactions in social networks,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-01024-1,336,1,"PSYCHOLOGY, EXPERIMENTAL",2021,84,TRUE,TRUE,TRUE
1557-1874,10.1007/s11469-020-00432-8,Schmits; Glowacz,2022,Changes in Alcohol Use During the COVID-19 Pandemic: Impact of the Lockdown Conditions and Mental Health Factors,International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00432-8,67,131,"PSYCHOLOGY, CLINICAL",2022,22.33,TRUE,FALSE,FALSE
1557-1874,10.1007/s11469-020-00458-y,Faisal; Jobe; Ahmed; Sharker,2022,"Mental Health Status, Anxiety, and Depression Levels of Bangladeshi University Students During the COVID-19 Pandemic",International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00458-y,126,131,"PSYCHOLOGY, CLINICAL",2022,42,TRUE,TRUE,TRUE
0261-510X,10.1111/bjdp.12350,Mitchell; Sheppard; Cassidy,2021,Autism and the double empathy problem: Implications for development and mental health,British Journal of Developmental Psychology,https://doi.org/10.1111/bjdp.12350,130,238,"PSYCHOLOGY, DEVELOPMENTAL",2021,32.5,TRUE,TRUE,TRUE
0149-2063,10.1177/0149206320978799,Gerhart; Feng,2021,"The Resource-Based View of the Firm, Human Resources, and Human Capital: Progress and Prospects",Journal of Management,https://doi.org/10.1177/0149206320978799,103,9,"PSYCHOLOGY, APPLIED",2021,25.75,TRUE,TRUE,FALSE
0162-3257,10.1007/s10803-020-04816-6,White; Law; Daniels; Toroney; Vernoia; Xiao; NA; Feliciano; Chung,2021,Brief Report: Impact of COVID-19 on Individuals with ASD and Their Caregivers: A Perspective from the SPARK Cohort,Journal of Autism and Developmental Disorders,https://doi.org/10.1007/s10803-020-04816-6,108,152,"PSYCHOLOGY, DEVELOPMENTAL",2021,27,TRUE,TRUE,FALSE
0145-2134,10.1016/j.chiabu.2020.104895,Struck; Stewart-Tufescu; Asmundson; Asmundson; Afifi,2021,Adverse childhood experiences (ACEs) research: A bibliometric analysis of publication trends over the first 20 years,Child Abuse &amp; Neglect,https://doi.org/10.1016/j.chiabu.2020.104895,90,110,"PSYCHOLOGY, SOCIAL",2021,22.5,TRUE,FALSE,FALSE
0021-8863,10.1177/0021886320982715,Gioia,2021,A Systematic Methodology for Doing Qualitative Research,The Journal of Applied Behavioral Science,https://doi.org/10.1177/0021886320982715,226,297,"PSYCHOLOGY, APPLIED",2021,56.5,TRUE,TRUE,TRUE
0361-476X,10.1016/j.cedpsych.2020.101940,Bieleke; Gogol; Goetz; Daniels; Pekrun,2021,The AEQ-S: A short version of the Achievement Emotions Questionnaire,Contemporary Educational Psychology,https://doi.org/10.1016/j.cedpsych.2020.101940,116,76,"PSYCHOLOGY, EDUCATIONAL",2021,29,TRUE,TRUE,FALSE
1942-969X,10.1037/tra0000996,Tasso; Hisli Sahin; San Roman,2021,COVID-19 disruption on college students: Academic and socioemotional implications.,"Psychological Trauma: Theory, Research, Practice, and Policy",https://doi.org/10.1037/tra0000996,209,204,"PSYCHOLOGY, CLINICAL",2021,52.25,TRUE,TRUE,TRUE
2468-7499,10.1016/j.ejtd.2020.100195,Henson; Truchot; Canevello,2021,What promotes post traumatic growth? A systematic review,European Journal of Trauma &amp; Dissociation,https://doi.org/10.1016/j.ejtd.2020.100195,132,417,"PSYCHOLOGY, CLINICAL",2021,33,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106675,Scherer; Howard; Tondeur; Siddiq,2021,Profiling teachers' readiness for online teaching and learning in higher education: Who's ready?,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106675,259,12,"PSYCHOLOGY, EXPERIMENTAL",2021,64.75,TRUE,TRUE,TRUE
1385-4046,10.1080/13854046.2020.1849803,Sweet; Klipfel; Nelson; Moberg,2021,"Professional practices, beliefs, and incomes of U.S. neuropsychologists: The AACN, NAN, SCN 2020 practice and “salary survey”",The Clinical Neuropsychologist,https://doi.org/10.1080/13854046.2020.1849803,83,165,PSYCHOLOGY,2021,20.75,TRUE,FALSE,FALSE
1073-1911,10.1177/1073191120971848,Kerber; Schultze; Müller; Rühling; Wright; Spitzer; Krueger; Knaevelsrud; Zimmermann,2022,Development of a Short and ICD-11 Compatible Measure for <i>DSM-5</i> Maladaptive Personality Traits Using Ant Colony Optimization Algorithms,Assessment,https://doi.org/10.1177/1073191120971848,70,106,"PSYCHOLOGY, CLINICAL",2022,23.33,TRUE,FALSE,FALSE
2578-1863,10.1002/hbe2.242,Vargo; Zhu; Benwell; Yan,2021,Digital technology use during<scp>COVID</scp>‐19 pandemic: A rapid review,Human Behavior and Emerging Technologies,https://doi.org/10.1002/hbe2.242,286,61,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,71.5,TRUE,TRUE,TRUE
0014-0139,10.1080/00140139.2020.1870162,Kermavnar; de Vries; de Looze; O’Sullivan,2021,Effects of industrial back-support exoskeletons on body loading and user experience: an updated systematic review,Ergonomics,https://doi.org/10.1080/00140139.2020.1870162,165,362,PSYCHOLOGY,2021,41.25,TRUE,TRUE,TRUE
1091-4269,10.1002/da.23120,Murata; Rezeppa; Thoma; Marengo; Krancevich; Chiyka; Hayes; Goodfriend; Deal; Zhong; Brummit; Coury; Riston; Brent; Melhem,2021,"The psychiatric sequelae of the COVID‐19 pandemic in adolescents, adults, and health care workers",Depression and Anxiety,https://doi.org/10.1002/da.23120,167,50,PSYCHOLOGY,2021,41.75,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106672,Hämäläinen; Nissinen; Mannonen; Lämsä; Leino; Taajamo,2021,"Understanding teaching professionals' digital competence: What do PIAAC and TALIS reveal about technology-related skills, attitudes, and knowledge?",Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106672,94,12,"PSYCHOLOGY, EXPERIMENTAL",2021,23.5,TRUE,FALSE,FALSE
1697-2600,10.1016/j.ijchp.2020.100218,Chi; Liang; Chen; Huang; Huang; Yu; Jiao; Guo; Stubbs; Hossain; Yeung; Kong; Zou,2021,Mental health problems among Chinese adolescents during the COVID-19: The importance of nutrition and physical activity,International Journal of Clinical and Health Psychology,https://doi.org/10.1016/j.ijchp.2020.100218,144,31,"PSYCHOLOGY, CLINICAL",2021,36,TRUE,TRUE,TRUE
0890-8567,10.1016/j.jaac.2020.12.027,Penner; Hernandez Ortiz; Sharp,2021,Change in Youth Mental Health During the COVID-19 Pandemic in a Majority Hispanic/Latinx US Sample,Journal of the American Academy of Child &amp; Adolescent Psychiatry,https://doi.org/10.1016/j.jaac.2020.12.027,141,10,"PSYCHOLOGY, DEVELOPMENTAL",2021,35.25,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2020.620310,Spagnoli; Molino; Molinaro; Giancaspro; Manuti; Ghislieri,2020,Workaholism and Technostress During the COVID-19 Emergency: The Crucial Role of the Leaders on Remote Working,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.620310,107,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,21.4,TRUE,FALSE,FALSE
0886-2605,10.1177/0886260520983304,Wood; Schrag; Baumler; Hairston; Guillot-Wright; Torres; Temple,2022,On the Front Lines of the COVID-19 Pandemic: Occupational Experiences of the Intimate Partner Violence and Sexual Assault Workforce,Journal of Interpersonal Violence,https://doi.org/10.1177/0886260520983304,62,227,"PSYCHOLOGY, APPLIED",2022,20.67,TRUE,FALSE,FALSE
2578-1863,10.1002/hbe2.240,Chakraborty; Mittal; Gupta; Yadav; Arora,2021,"Opinion of students on online education during the
            <scp>COVID</scp>
            ‐19 pandemic",Human Behavior and Emerging Technologies,https://doi.org/10.1002/hbe2.240,243,61,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,60.75,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106671,Cranmer; Han; van Gisbergen; Jung,2021,Esports matrix: Structuring the esports research agenda,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106671,81,12,"PSYCHOLOGY, EXPERIMENTAL",2021,20.25,TRUE,FALSE,FALSE
1664-1078,10.3389/fpsyg.2020.577639,Eden; Johnson; Reinecke; Grady,2020,"Media for Coping During COVID-19 Social Distancing: Stress, Anxiety, and Psychological Well-Being",Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.577639,107,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,21.4,TRUE,FALSE,FALSE
0748-1187,10.1080/07481187.2020.1853885,Lee; Neimeyer,2022,Pandemic Grief Scale: A screening tool for dysfunctional grief due to a COVID-19 loss,Death Studies,https://doi.org/10.1080/07481187.2020.1853885,77,331,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,25.67,TRUE,TRUE,FALSE
1041-6102,10.1017/s1041610220004135,Creese; Khan; Henley; O’Dwyer; Corbett; Vasconcelos Da Silva; Mills; Wright; Testad; Aarsland; Ballard,2021,"Loneliness, physical activity, and mental health during COVID-19: a longitudinal analysis of depression and anxiety in adults over the age of 50 between 2015 and 2020",International Psychogeriatrics,https://doi.org/10.1017/s1041610220004135,142,57,PSYCHOLOGY,2021,35.5,TRUE,TRUE,TRUE
0253-7176,10.1177/0253717620977000,Andrade,2021,The Inconvenient Truth About Convenience and Purposive Samples,Indian Journal of Psychological Medicine,https://doi.org/10.1177/0253717620977000,360,428,PSYCHOLOGY,2021,90,TRUE,TRUE,TRUE
1087-0547,10.1177/1087054720978549,Sciberras; Patel; Stokes; Coghill; Middeldorp; Bellgrove; Becker; Efron; Stringaris; Faraone; Bellows; Quach; Banaschewski; McGillivray; Hutchinson; Silk; Melvin; Wood; Jackson; Loram; Engel; Montgomery; Westrupp,2022,"Physical Health, Media Use, and Mental Health in Children and Adolescents With ADHD During the COVID-19 Pandemic in Australia",Journal of Attention Disorders,https://doi.org/10.1177/1087054720978549,99,217,"PSYCHOLOGY, DEVELOPMENTAL",2022,33,TRUE,TRUE,TRUE
1740-1445,10.1016/j.bodyim.2020.11.006,Alleva; Tylka,2021,Body functionality: A review of the literature,Body Image,https://doi.org/10.1016/j.bodyim.2020.11.006,145,36,"PSYCHOLOGY, CLINICAL",2021,36.25,TRUE,TRUE,TRUE
1532-3005,10.1002/smi.3016,Benham,2021,Stress and sleep in college students prior to and during the COVID‐19 pandemic,Stress and Health,https://doi.org/10.1002/smi.3016,95,153,PSYCHOLOGY,2021,23.75,TRUE,FALSE,FALSE
0191-8869,10.1016/j.paid.2020.110590,Karlsson; Soveri; Lewandowsky; Karlsson; Karlsson; Nolvi; Karukivi; Lindfelt; Antfolk,2021,Fearing the disease or the vaccine: The case of COVID-19,Personality and Individual Differences,https://doi.org/10.1016/j.paid.2020.110590,357,105,"PSYCHOLOGY, SOCIAL",2021,89.25,TRUE,TRUE,TRUE
0191-8869,10.1016/j.paid.2020.110592,Karataş; Tagay,2021,"The relationships between resilience of the adults affected by the covid pandemic in Turkey and Covid-19 fear, meaning in life, life satisfaction, intolerance of uncertainty and hope",Personality and Individual Differences,https://doi.org/10.1016/j.paid.2020.110592,100,105,"PSYCHOLOGY, SOCIAL",2021,25,TRUE,TRUE,FALSE
0020-7594,10.1002/ijop.12737,Masten,2021,Resilience of children in disasters: A multisystem perspective,International Journal of Psychology,https://doi.org/10.1002/ijop.12737,114,128,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,28.5,TRUE,TRUE,FALSE
1937-1888,10.15288/jsad.2020.81.725,White; Stevens; Hayes; Jackson,2020,Changes in Alcohol Consumption Among College Students Due to COVID-19: Effects of Campus Closure and Residential Change,Journal of Studies on Alcohol and Drugs,https://doi.org/10.15288/jsad.2020.81.725,115,270,PSYCHOLOGY,2020,23,TRUE,FALSE,FALSE
0033-2917,10.1017/s0033291720005188,Freeman; Loe; Chadwick; Vaccari; Waite; Rosebrock; Jenner; Petit; Lewandowsky; Vanderslott; Innocenti; Larkin; Giubilini; Yu; McShane; Pollard; Lambe,2022,"COVID-19 vaccine hesitancy in the UK: the Oxford coronavirus explanations, attitudes, and narratives survey (Oceans) II",Psychological Medicine,https://doi.org/10.1017/s0033291720005188,476,26,PSYCHOLOGY,2022,158.67,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2020.590271,Contreras; Baykal; Abid,2020,E-Leadership and Teleworking in Times of COVID-19 and Beyond: What We Know and Where Do We Go,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.590271,238,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,47.6,TRUE,TRUE,TRUE
0272-4944,10.1016/j.jenvp.2020.101545,Corley; Okely; Taylor; Page; Welstead; Skarabela; Redmond; Cox; Russ,2021,Home garden use during COVID-19: Associations with physical and mental wellbeing in older adults,Journal of Environmental Psychology,https://doi.org/10.1016/j.jenvp.2020.101545,173,23,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,43.25,TRUE,TRUE,TRUE
0742-6046,10.1002/mar.21437,Whang; Im,2021,"""I Like Your Suggestion!"" the role of humanlikeness and parasocial relationship on the website versus voice shopper's perception of recommendations",Psychology &amp; Marketing,https://doi.org/10.1002/mar.21437,104,14,"PSYCHOLOGY, APPLIED",2021,26,TRUE,TRUE,FALSE
1664-1078,10.3389/fpsyg.2020.586161,Gilbert,2020,Compassion: From Its Evolution to a Psychotherapy,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.586161,166,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,33.2,TRUE,TRUE,TRUE
1554-3528,10.3758/s13428-020-01514-0,Milne; Bianco; Poole; Zhao; Oxenham; Billig; Chait,2021,An online headphone screening test based on dichotic pitch,Behavior Research Methods,https://doi.org/10.3758/s13428-020-01514-0,94,55,"PSYCHOLOGY, EXPERIMENTAL",2021,23.5,TRUE,FALSE,FALSE
1878-9293,10.1016/j.dcn.2020.100895,Schaworonkow; Voytek,2021,Longitudinal changes in aperiodic and periodic activity in electrophysiological recordings in the first seven months of life,Developmental Cognitive Neuroscience,https://doi.org/10.1016/j.dcn.2020.100895,146,56,"PSYCHOLOGY, DEVELOPMENTAL",2021,36.5,TRUE,TRUE,TRUE
1939-3792,10.1002/aur.2453,Bhat,2021,"Motor Impairment Increases in Children With Autism Spectrum Disorder as a Function of Social Communication, Cognitive and Functional Impairment, Repetitive Behavior Severity, and Comorbid Diagnoses: A <scp>SPARK</scp> Study Report",Autism Research,https://doi.org/10.1002/aur.2453,138,32,"PSYCHOLOGY, DEVELOPMENTAL",2021,34.5,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106645,Boer; Stevens; Finkenauer; de Looze; van den Eijnden,2021,"Social media use intensity, social media use problems, and mental health among adolescents: Investigating directionality and mediating processes",Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106645,136,12,"PSYCHOLOGY, EXPERIMENTAL",2021,34,TRUE,TRUE,TRUE
1359-107X,10.1111/bjhp.12493,Robinson; Daly,2021,Explaining the rise and fall of psychological distress during the COVID‐19 crisis in the United States: Longitudinal evidence from the Understanding America Study,British Journal of Health Psychology,https://doi.org/10.1111/bjhp.12493,99,104,"PSYCHOLOGY, CLINICAL",2021,24.75,TRUE,FALSE,FALSE
0095-2990,10.1080/00952990.2020.1832508,Weerakoon; Jetelina; Knell,2021,Longer time spent at home during COVID-19 pandemic is associated with binge drinking among US adults,The American Journal of Drug and Alcohol Abuse,https://doi.org/10.1080/00952990.2020.1832508,88,220,"PSYCHOLOGY, CLINICAL",2021,22,TRUE,FALSE,FALSE
0033-2917,10.1017/s0033291720005048,Chandola; Kumari; Booker; Benzeval,2022,The mental health impact of COVID-19 and lockdown-related stressors among adults in the UK,Psychological Medicine,https://doi.org/10.1017/s0033291720005048,115,26,PSYCHOLOGY,2022,38.33,TRUE,TRUE,TRUE
0010-9452,10.1016/j.cortex.2020.11.014,Bainbridge; Pounder; Eardley; Baker,2021,Quantifying aphantasia through drawing: Those without visual imagery show deficits in object but not spatial memory,Cortex,https://doi.org/10.1016/j.cortex.2020.11.014,91,125,"PSYCHOLOGY, EXPERIMENTAL",2021,22.75,TRUE,FALSE,FALSE
1054-139X,10.1016/j.jadohealth.2020.11.010,Scott; Rivera; Rushing; Manczak; Rozek; Doom,2021,“I Hate This”: A Qualitative Analysis of Adolescents' Self-Reported Challenges During the COVID-19 Pandemic,Journal of Adolescent Health,https://doi.org/10.1016/j.jadohealth.2020.11.010,125,30,"PSYCHOLOGY, DEVELOPMENTAL",2021,31.25,TRUE,TRUE,TRUE
1743-9760,10.1080/17439760.2020.1832247,Counted; Pargament; Bechara; Joynt; Cowden,2022,Hope and well-being in vulnerable contexts during the COVID-19 pandemic: does religious coping matter?,The Journal of Positive Psychology,https://doi.org/10.1080/17439760.2020.1832247,113,117,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,37.67,TRUE,TRUE,TRUE
1057-7408,10.1002/jcpy.1208,P. Simmons; D. Nelson; Simonsohn,2021,Pre‐registration: Why and How,Journal of Consumer Psychology,https://doi.org/10.1002/jcpy.1208,87,73,"PSYCHOLOGY, APPLIED",2021,21.75,TRUE,FALSE,FALSE
1740-1445,10.1016/j.bodyim.2020.11.005,Jarman; Marques; McLean; Slater; Paxton,2021,"Social media, body satisfaction and well-being among adolescents: A mediation model of appearance-ideal internalization and comparison",Body Image,https://doi.org/10.1016/j.bodyim.2020.11.005,110,36,"PSYCHOLOGY, CLINICAL",2021,27.5,TRUE,TRUE,FALSE
1664-1078,10.3389/fpsyg.2020.579181,Okruszek; Aniszewska-Stańczuk; Piejka; Wiśniewska; Żurek,2020,"Safe but Lonely? Loneliness, Anxiety, and Depression Symptoms and COVID-19",Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.579181,126,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,25.2,TRUE,TRUE,FALSE
1054-139X,10.1016/j.jadohealth.2020.10.030,Hoyt; Cohen; Dull; Maker Castro; Yazdani,2021,“Constant Stress Has Become the New Normal”: Stress and Anxiety Inequalities Among U.S. College Students in the Time of COVID-19,Journal of Adolescent Health,https://doi.org/10.1016/j.jadohealth.2020.10.030,226,30,"PSYCHOLOGY, DEVELOPMENTAL",2021,56.5,TRUE,TRUE,TRUE
0306-4603,10.1016/j.addbeh.2020.106754,Taylor; Paluszek; Rachor; McKay; Asmundson,2021,"Substance use and abuse, COVID-19-related distress, and disregard for social distancing: A network analysis",Addictive Behaviors,https://doi.org/10.1016/j.addbeh.2020.106754,149,90,"PSYCHOLOGY, CLINICAL",2021,37.25,TRUE,TRUE,TRUE
2578-1863,10.1002/hbe2.238,Zawacki‐Richter,2021,The current state and impact of Covid‐19 on digital higher education in Germany,Human Behavior and Emerging Technologies,https://doi.org/10.1002/hbe2.238,123,61,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,30.75,TRUE,TRUE,TRUE
2212-1447,10.1016/j.jcbs.2020.11.003,McCracken; Badinlou; Buhrman; Brocki,2021,"The role of psychological flexibility in the context of COVID-19: Associations with depression, anxiety, and insomnia",Journal of Contextual Behavioral Science,https://doi.org/10.1016/j.jcbs.2020.11.003,91,113,"PSYCHOLOGY, CLINICAL",2021,22.75,TRUE,FALSE,FALSE
1063-3995,10.1002/cpp.2533,Pilkington; Bishop; Younan,2021,Adverse childhood experiences and early maladaptive schemas in adulthood: A systematic review and meta‐analysis,Clinical Psychology &amp; Psychotherapy,https://doi.org/10.1002/cpp.2533,95,142,"PSYCHOLOGY, CLINICAL",2021,23.75,TRUE,FALSE,FALSE
0742-6046,10.1002/mar.21436,Mishra; Shukla; Rana; Dwivedi,2021,From “touch” to a “multisensory” experience: The impact of technology interface and product type on consumer responses,Psychology &amp; Marketing,https://doi.org/10.1002/mar.21436,126,14,"PSYCHOLOGY, APPLIED",2021,31.5,TRUE,TRUE,TRUE
1557-1874,10.1007/s11469-020-00443-5,Satici; Kayis; Satici; Griffiths; Can,2023,"Resilience, Hope, and Subjective Happiness Among the Turkish Population: Fear of COVID-19 as a Mediator",International Journal of Mental Health and Addiction,https://doi.org/10.1007/s11469-020-00443-5,68,131,"PSYCHOLOGY, CLINICAL",2023,34,TRUE,TRUE,TRUE
1094-4281,10.1177/1094428120967716,Mees-Buss; Welch; Piekkari,2022,From Templates to Heuristics: How and Why to Move Beyond the Gioia Methodology,Organizational Research Methods,https://doi.org/10.1177/1094428120967716,87,13,"PSYCHOLOGY, APPLIED",2022,29,TRUE,TRUE,FALSE
0888-4080,10.1002/acp.3770,Teovanović; Lukić; Zupan; Lazić; Ninković; Žeželj,2021,Irrational beliefs differentially predict adherence to guidelines and pseudoscientific practices during the <scp>COVID</scp>‐19 pandemic,Applied Cognitive Psychology,https://doi.org/10.1002/acp.3770,96,351,"PSYCHOLOGY, EXPERIMENTAL",2021,24,TRUE,FALSE,FALSE
0003-6870,10.1016/j.apergo.2020.103334,Kadir; Broberg,2021,Human-centered design of work systems in the transition to industry 4.0,Applied Ergonomics,https://doi.org/10.1016/j.apergo.2020.103334,89,155,"PSYCHOLOGY, APPLIED",2021,22.25,TRUE,FALSE,FALSE
