ISSN,journal,DOI,year,citations,impact_factor_rank,category
2468-7499,European Journal of Trauma &amp; Dissociation,10.1016/j.ejtd.2020.100196,2021,2,417,"PSYCHOLOGY, CLINICAL"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.11.015,2021,10,107,"PSYCHOLOGY, APPLIED"
0042-6989,Vision Research,10.1016/j.visres.2020.12.004,2021,9,510,PSYCHOLOGY
1931-1559,Neuropsychology,10.1037/neu0000664,2021,17,237,PSYCHOLOGY
1931-1559,Neuropsychology,10.1037/neu0000704,2021,37,237,PSYCHOLOGY
1931-1559,Neuropsychology,10.1037/neu0000717,2021,25,237,PSYCHOLOGY
0022-3514,Journal of Personality and Social Psychology,10.1037/pspa0000264,2020,0,20,"PSYCHOLOGY, SOCIAL"
1355-4794,Neurocase,10.1080/13554794.2020.1866018,2021,9,698,PSYCHOLOGY
0144-6665,British Journal of Social Psychology,10.1111/bjso.12427,2021,0,134,"PSYCHOLOGY, SOCIAL"
1475-357X,Child and Adolescent Mental Health,10.1111/camh.12444,2021,5,18,"PSYCHOLOGY, CLINICAL"
1355-3259,Legal and Criminological Psychology,10.1111/lcrp.v26.1,2021,0,310,"PSYCHOLOGY, MULTIDISCIPLINARY"
0090-502X,Memory &amp; Cognition,10.3758/s13421-020-01132-3,2021,0,320,"PSYCHOLOGY, EXPERIMENTAL"
2353-4192,Current Issues in Personality Psychology,10.5114/cipp.2020.101187,2020,4,639,"PSYCHOLOGY, SOCIAL"
1063-3995,Clinical Psychology &amp; Psychotherapy,10.1002/cpp.2545,2021,7,142,"PSYCHOLOGY, CLINICAL"
1063-3995,Clinical Psychology &amp; Psychotherapy,10.1002/cpp.2547,2021,2,142,"PSYCHOLOGY, CLINICAL"
0894-3796,Journal of Organizational Behavior,10.1002/job.2500,2021,28,22,"PSYCHOLOGY, APPLIED"
0894-3796,Journal of Organizational Behavior,10.1002/job.2501,2021,24,22,"PSYCHOLOGY, APPLIED"
0340-0727,Psychological Research,10.1007/s00426-020-01387-0,2021,0,324,"PSYCHOLOGY, EXPERIMENTAL"
0340-0727,Psychological Research,10.1007/s00426-020-01449-3,2021,6,324,"PSYCHOLOGY, EXPERIMENTAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01701-6,2022,7,24,"PSYCHOLOGY, DEVELOPMENTAL"
1090-0586,Applied Psychophysiology and Biofeedback,10.1007/s10484-020-09494-9,2021,9,318,"PSYCHOLOGY, CLINICAL"
1090-0586,Applied Psychophysiology and Biofeedback,10.1007/s10484-020-09496-7,2021,2,318,"PSYCHOLOGY, CLINICAL"
1090-0586,Applied Psychophysiology and Biofeedback,10.1007/s10484-020-09497-6,2021,15,318,"PSYCHOLOGY, CLINICAL"
1053-1890,Child &amp; Youth Care Forum,10.1007/s10566-020-09592-z,2021,23,473,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01099-x,2021,10,293,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01100-7,2022,14,293,"PSYCHOLOGY, DEVELOPMENTAL"
0892-2764,Contemporary Family Therapy,10.1007/s10591-020-09556-4,2021,1,625,"PSYCHOLOGY, CLINICAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04808-6,2021,7,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04816-6,2021,108,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04818-4,2021,7,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04848-y,2021,4,152,"PSYCHOLOGY, DEVELOPMENTAL"
1068-0667,Journal of Adult Development,10.1007/s10804-020-09368-8,2021,4,442,"PSYCHOLOGY, DEVELOPMENTAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09862-z,2021,2,558,"PSYCHOLOGY, CLINICAL"
0160-7715,Journal of Behavioral Medicine,10.1007/s10865-020-00197-4,2021,10,198,"PSYCHOLOGY, CLINICAL"
0885-7482,Journal of Family Violence,10.1007/s10896-020-00238-1,2022,11,206,"PSYCHOLOGY, CLINICAL"
1573-3602,Journal of Gambling Studies,10.1007/s10899-020-09993-8,2021,6,275,"PSYCHOLOGY, MULTIDISCIPLINARY"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00334-5,2021,3,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00336-3,2021,10,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00345-2,2021,4,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
0090-6905,Journal of Psycholinguistic Research,10.1007/s10936-020-09754-z,2021,10,481,"PSYCHOLOGY, EXPERIMENTAL"
0894-9085,Journal of Rational-Emotive &amp; Cognitive-Behavior Therapy,10.1007/s10942-020-00383-y,2021,12,472,"PSYCHOLOGY, CLINICAL"
0922-4777,Reading and Writing,10.1007/s11145-020-10119-0,2021,3,407,"PSYCHOLOGY, EDUCATIONAL"
1046-1310,Current Psychology,10.1007/s12144-020-01274-2,2022,9,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01291-1,2022,5,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1866-2625,School Mental Health,10.1007/s12310-020-09402-w,2021,13,252,"PSYCHOLOGY, DEVELOPMENTAL"
1866-2625,School Mental Health,10.1007/s12310-020-09403-9,2021,11,252,"PSYCHOLOGY, DEVELOPMENTAL"
1868-8527,Mindfulness,10.1007/s12671-020-01539-8,2021,20,156,"PSYCHOLOGY, CLINICAL"
1868-8527,Mindfulness,10.1007/s12671-020-01575-4,2021,17,156,"PSYCHOLOGY, CLINICAL"
1740-1445,Body Image,10.1016/j.bodyim.2020.12.003,2021,17,36,"PSYCHOLOGY, CLINICAL"
1740-1445,Body Image,10.1016/j.bodyim.2020.12.004,2021,12,36,"PSYCHOLOGY, CLINICAL"
0005-7967,Behaviour Research and Therapy,10.1016/j.brat.2020.103800,2021,8,64,"PSYCHOLOGY, CLINICAL"
0145-2134,Child Abuse &amp; Neglect,10.1016/j.chiabu.2020.104887,2021,12,110,"PSYCHOLOGY, SOCIAL"
0885-2014,Cognitive Development,10.1016/j.cogdev.2020.101005,2021,0,449,"PSYCHOLOGY, DEVELOPMENTAL"
2468-7499,European Journal of Trauma &amp; Dissociation,10.1016/j.ejtd.2020.100194,2021,0,417,"PSYCHOLOGY, CLINICAL"
0022-0965,Journal of Experimental Child Psychology,10.1016/j.jecp.2020.105060,2021,15,440,"PSYCHOLOGY, DEVELOPMENTAL"
0092-6566,Journal of Research in Personality,10.1016/j.jrp.2020.104062,2021,6,230,"PSYCHOLOGY, SOCIAL"
0740-5472,Journal of Substance Abuse Treatment,10.1016/j.jsat.2020.108273,2021,21,92,"PSYCHOLOGY, CLINICAL"
0740-5472,Journal of Substance Abuse Treatment,10.1016/j.jsat.2020.108274,2021,9,92,"PSYCHOLOGY, CLINICAL"
0010-0285,Cognitive Psychology,10.1016/s0010-0285(20)30101-8,2021,0,168,PSYCHOLOGY
1941-9899,Psychology &amp; Sexuality,10.1080/19419899.2021.1871775,2022,0,280,"PSYCHOLOGY, MULTIDISCIPLINARY"
0146-8693,Journal of Pediatric Psychology,10.1093/jpepsy/jsaa132,2021,5,215,"PSYCHOLOGY, DEVELOPMENTAL"
0146-8693,Journal of Pediatric Psychology,10.1093/jpepsy/jsaa133,2021,6,215,"PSYCHOLOGY, DEVELOPMENTAL"
0144-6665,British Journal of Social Psychology,10.1111/bjso.12387,2021,0,134,"PSYCHOLOGY, SOCIAL"
2050-7283,BMC Psychology,10.1186/s40359-020-00492-4,2021,22,208,"PSYCHOLOGY, MULTIDISCIPLINARY"
2076-328X,Behavioral Sciences,10.3390/bs11010004,2021,2,251,"PSYCHOLOGY, MULTIDISCIPLINARY"
1939-3792,Autism Research,10.1002/aur.2464,2021,9,32,"PSYCHOLOGY, DEVELOPMENTAL"
1072-0847,Behavioral Interventions,10.1002/bin.1765,2021,2,615,"PSYCHOLOGY, CLINICAL"
1052-9284,Journal of Community &amp; Applied Social Psychology,10.1002/casp.2498,2021,9,221,"PSYCHOLOGY, SOCIAL"
1063-3995,Clinical Psychology &amp; Psychotherapy,10.1002/cpp.2546,2021,5,142,"PSYCHOLOGY, CLINICAL"
1057-9249,Psycho-Oncology,10.1002/pon.5619,2021,17,130,PSYCHOLOGY
0340-0727,Psychological Research,10.1007/s00426-020-01392-3,2021,5,324,"PSYCHOLOGY, EXPERIMENTAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01687-1,2022,13,24,"PSYCHOLOGY, DEVELOPMENTAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01690-6,2022,5,24,"PSYCHOLOGY, DEVELOPMENTAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01693-3,2022,3,24,"PSYCHOLOGY, DEVELOPMENTAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01694-2,2022,1,24,"PSYCHOLOGY, DEVELOPMENTAL"
1090-0586,Applied Psychophysiology and Biofeedback,10.1007/s10484-020-09499-4,2021,4,318,"PSYCHOLOGY, CLINICAL"
0004-0002,Archives of Sexual Behavior,10.1007/s10508-020-01899-1,2021,0,174,"PSYCHOLOGY, CLINICAL"
0001-8244,Behavior Genetics,10.1007/s10519-020-10032-w,2021,42,234,"PSYCHOLOGY, MULTIDISCIPLINARY"
0001-8244,Behavior Genetics,10.1007/s10519-020-10036-6,2021,33,234,"PSYCHOLOGY, MULTIDISCIPLINARY"
1053-1890,Child &amp; Youth Care Forum,10.1007/s10566-020-09589-8,2021,11,473,"PSYCHOLOGY, DEVELOPMENTAL"
1053-1890,Child &amp; Youth Care Forum,10.1007/s10566-020-09591-0,2021,22,473,"PSYCHOLOGY, DEVELOPMENTAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10181-6,2021,3,187,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10186-1,2021,40,187,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10187-0,2021,5,187,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10192-3,2021,2,187,"PSYCHOLOGY, CLINICAL"
1873-0388,International Journal for Educational and Vocational Guidance,10.1007/s10775-020-09450-3,2021,4,465,"PSYCHOLOGY, APPLIED"
1873-0388,International Journal for Educational and Vocational Guidance,10.1007/s10775-020-09452-1,2021,18,465,"PSYCHOLOGY, APPLIED"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04766-z,2021,49,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04776-x,2021,10,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04787-8,2021,6,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04804-w,2021,13,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04823-7,2021,5,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04824-6,2021,10,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04843-3,2021,1,152,"PSYCHOLOGY, DEVELOPMENTAL"
1068-0667,Journal of Adult Development,10.1007/s10804-020-09367-9,2021,8,442,"PSYCHOLOGY, DEVELOPMENTAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09854-z,2021,4,558,"PSYCHOLOGY, CLINICAL"
0022-0116,Journal of Contemporary Psychotherapy,10.1007/s10879-020-09488-y,2021,2,502,"PSYCHOLOGY, CLINICAL"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00337-2,2021,79,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
0191-5886,Journal of Nonverbal Behavior,10.1007/s10919-020-00347-x,2021,10,570,"PSYCHOLOGY, SOCIAL"
0090-6905,Journal of Psycholinguistic Research,10.1007/s10936-020-09753-0,2021,1,481,"PSYCHOLOGY, EXPERIMENTAL"
1046-1310,Current Psychology,10.1007/s12144-020-01261-7,2022,2,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01276-0,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01290-2,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01313-y,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01317-8,2022,8,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1868-8527,Mindfulness,10.1007/s12671-020-01562-9,2021,2,156,"PSYCHOLOGY, CLINICAL"
1868-8527,Mindfulness,10.1007/s12671-020-01578-1,2021,15,156,"PSYCHOLOGY, CLINICAL"
2367-0134,Occupational Health Science,10.1007/s41542-020-00077-y,2021,4,495,"PSYCHOLOGY, APPLIED"
2520-100X,Journal of Cultural Cognitive Science,10.1007/s41809-020-00071-4,2021,5,561,"PSYCHOLOGY, EXPERIMENTAL"
0003-4487,"Annales Médico-psychologiques, revue psychiatrique",10.1016/j.amp.2020.12.009,2021,0,735,PSYCHOLOGY
0003-6870,Applied Ergonomics,10.1016/j.apergo.2020.103352,2021,8,155,"PSYCHOLOGY, APPLIED"
0005-7967,Behaviour Research and Therapy,10.1016/j.brat.2020.103798,2021,10,64,"PSYCHOLOGY, CLINICAL"
0145-2134,Child Abuse &amp; Neglect,10.1016/j.chiabu.2020.104901,2021,13,110,"PSYCHOLOGY, SOCIAL"
0010-0277,Cognition,10.1016/j.cognition.2020.104552,2021,47,195,"PSYCHOLOGY, EXPERIMENTAL"
0010-0277,Cognition,10.1016/j.cognition.2020.104572,2021,3,195,"PSYCHOLOGY, EXPERIMENTAL"
2589-9791,Journal of Behavioral and Cognitive Therapy,10.1016/j.jbct.2020.12.002,2021,0,471,"PSYCHOLOGY, CLINICAL"
0167-4870,Journal of Economic Psychology,10.1016/j.joep.2020.102348,2021,26,249,"PSYCHOLOGY, MULTIDISCIPLINARY"
0092-6566,Journal of Research in Personality,10.1016/j.jrp.2020.104063,2021,5,230,"PSYCHOLOGY, SOCIAL"
1048-9843,The Leadership Quarterly,10.1016/j.leaqua.2020.101490,2021,24,11,"PSYCHOLOGY, APPLIED"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.12.007,2021,63,107,"PSYCHOLOGY, APPLIED"
0042-6989,Vision Research,10.1016/j.visres.2020.11.011,2021,7,510,PSYCHOLOGY
0042-6989,Vision Research,10.1016/s0042-6989(20)30206-6,2021,0,510,PSYCHOLOGY
1040-9289,Early Education and Development,10.1080/10409289.2020.1857540,2021,4,335,"PSYCHOLOGY, EDUCATIONAL"
1873-5843,Archives of Clinical Neuropsychology,10.1093/arclin/acab001,2021,6,340,PSYCHOLOGY
0144-6665,British Journal of Social Psychology,10.1111/bjso.v60.1,2021,0,134,"PSYCHOLOGY, SOCIAL"
1355-3259,Legal and Criminological Psychology,10.1111/lcrp.12175,2021,0,310,"PSYCHOLOGY, MULTIDISCIPLINARY"
1355-3259,Legal and Criminological Psychology,10.1111/lcrp.12188,2021,0,310,"PSYCHOLOGY, MULTIDISCIPLINARY"
1751-9004,Social and Personality Psychology Compass,10.1111/spc3.12579,2021,31,48,"PSYCHOLOGY, SOCIAL"
1090-0586,Applied Psychophysiology and Biofeedback,10.1007/s10484-020-09498-5,2021,12,318,"PSYCHOLOGY, CLINICAL"
0001-8244,Behavior Genetics,10.1007/s10519-020-10034-8,2021,3,234,"PSYCHOLOGY, MULTIDISCIPLINARY"
1053-1890,Child &amp; Youth Care Forum,10.1007/s10566-020-09595-w,2021,2,473,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01104-3,2022,3,293,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01113-2,2022,11,293,"PSYCHOLOGY, DEVELOPMENTAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10183-4,2021,6,187,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10188-z,2021,2,187,"PSYCHOLOGY, CLINICAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04805-9,2021,9,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04806-8,2021,37,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04807-7,2021,14,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04813-9,2021,1,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04814-8,2021,20,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04845-1,2021,33,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04846-0,2021,2,152,"PSYCHOLOGY, DEVELOPMENTAL"
0160-7715,Journal of Behavioral Medicine,10.1007/s10865-020-00193-8,2021,5,198,"PSYCHOLOGY, CLINICAL"
1573-3602,Journal of Gambling Studies,10.1007/s10899-020-09994-7,2021,9,275,"PSYCHOLOGY, MULTIDISCIPLINARY"
1573-3602,Journal of Gambling Studies,10.1007/s10899-020-09995-6,2021,18,275,"PSYCHOLOGY, MULTIDISCIPLINARY"
0894-9085,Journal of Rational-Emotive &amp; Cognitive-Behavior Therapy,10.1007/s10942-020-00384-x,2021,4,472,"PSYCHOLOGY, CLINICAL"
0894-9085,Journal of Rational-Emotive &amp; Cognitive-Behavior Therapy,10.1007/s10942-020-00385-w,2021,3,472,"PSYCHOLOGY, CLINICAL"
1866-2625,School Mental Health,10.1007/s12310-020-09404-8,2021,25,252,"PSYCHOLOGY, DEVELOPMENTAL"
2522-5790,Human Arenas,10.1007/s42087-020-00163-1,2022,12,596,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-7967,Behaviour Research and Therapy,10.1016/j.brat.2020.103799,2021,15,64,"PSYCHOLOGY, CLINICAL"
1077-7229,Cognitive and Behavioral Practice,10.1016/j.cbpra.2020.11.002,2022,22,185,"PSYCHOLOGY, CLINICAL"
0145-2134,Child Abuse &amp; Neglect,10.1016/j.chiabu.2020.104895,2021,90,110,"PSYCHOLOGY, SOCIAL"
0145-2134,Child Abuse &amp; Neglect,10.1016/j.chiabu.2020.104922,2021,9,110,"PSYCHOLOGY, SOCIAL"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.12.001,2021,31,107,"PSYCHOLOGY, APPLIED"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.12.004,2021,30,107,"PSYCHOLOGY, APPLIED"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.12.009,2021,26,107,"PSYCHOLOGY, APPLIED"
1534-7796,Psychosomatic Medicine,10.1097/psy.0000000000000890,2021,18,183,PSYCHOLOGY
1534-7796,Psychosomatic Medicine,10.1097/psy.0000000000000893,2021,7,183,PSYCHOLOGY
1534-7796,Psychosomatic Medicine,10.1097/psy.0000000000000900,2021,35,183,PSYCHOLOGY
1534-7796,Psychosomatic Medicine,10.1097/psy.0000000000000901,2021,10,183,PSYCHOLOGY
1534-7796,Psychosomatic Medicine,10.1097/psy.0000000000000902,2021,0,183,PSYCHOLOGY
0021-5368,Japanese Psychological Research,10.1111/jpr.12290,2021,0,674,"PSYCHOLOGY, MULTIDISCIPLINARY"
0021-5368,Japanese Psychological Research,10.1111/jpr.12291,2021,0,674,"PSYCHOLOGY, MULTIDISCIPLINARY"
0021-8863,The Journal of Applied Behavioral Science,10.1177/0021886320982715,2021,226,297,"PSYCHOLOGY, APPLIED"
0190-2725,Social Psychology Quarterly,10.1177/0190272520976133,2021,11,400,"PSYCHOLOGY, SOCIAL"
0742-6046,Psychology &amp; Marketing,10.1002/mar.21372,2021,0,14,"PSYCHOLOGY, APPLIED"
0033-3085,Psychology in the Schools,10.1002/pits.22474,2021,4,444,"PSYCHOLOGY, EDUCATIONAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01689-z,2022,5,24,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01102-5,2021,5,293,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01111-4,2022,15,293,"PSYCHOLOGY, DEVELOPMENTAL"
0193-3973,Journal of Applied Developmental Psychology,10.1016/j.appdev.2020.101218,2021,25,313,"PSYCHOLOGY, DEVELOPMENTAL"
0005-7894,Behavior Therapy,10.1016/j.beth.2020.12.004,2021,3,115,"PSYCHOLOGY, CLINICAL"
0306-4603,Addictive Behaviors,10.1016/s0306-4603(20)30933-3,2021,0,90,"PSYCHOLOGY, CLINICAL"
0894-4105,Neuropsychology,10.1037/neu0000704.supp,2021,0,237,PSYCHOLOGY
0748-1187,Death Studies,10.1080/07481187.2020.1848945,2022,43,331,"PSYCHOLOGY, MULTIDISCIPLINARY"
0748-1187,Death Studies,10.1080/07481187.2020.1865479,2022,19,331,"PSYCHOLOGY, MULTIDISCIPLINARY"
1547-5441,Language Learning and Development,10.1080/15475441.2020.1863808,2021,4,504,"PSYCHOLOGY, DEVELOPMENTAL"
0196-206X,Journal of Developmental &amp; Behavioral Pediatrics,10.1097/dbp.0000000000000902,2021,10,438,"PSYCHOLOGY, DEVELOPMENTAL"
1534-7796,Psychosomatic Medicine,10.1097/psy.0000000000000905,2021,13,183,PSYCHOLOGY
0004-9530,Australian Journal of Psychology,10.1111/ajpy.2015.67.issue-1,2015,1,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0004-9530,Australian Journal of Psychology,10.1111/ajpy.2015.67.issue-2,2015,0,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0004-9530,Australian Journal of Psychology,10.1111/ajpy.2017.69.issue-2,2017,0,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0004-9530,Australian Journal of Psychology,10.1111/ajpy.2017.69.issue-4,2017,0,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2015.50.issue-4,2015,0,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2018.53.issue-3,2018,0,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
1328-4207,Clinical Psychologist,10.1111/cp.2016.20.issue-2,2016,3,576,PSYCHOLOGY
1328-4207,Clinical Psychologist,10.1111/cp.2018.22.issue-1,2018,0,576,PSYCHOLOGY
0021-5368,Japanese Psychological Research,10.1111/jpr.v63.1,2021,0,674,"PSYCHOLOGY, MULTIDISCIPLINARY"
0734-2829,Journal of Psychoeducational Assessment,10.1177/0734282920981398,2021,3,511,"PSYCHOLOGY, EDUCATIONAL"
0276-3478,International Journal of Eating Disorders,10.1002/eat.23455,2021,16,51,PSYCHOLOGY
0276-3478,International Journal of Eating Disorders,10.1002/eat.23459,2021,8,51,PSYCHOLOGY
0742-6046,Psychology &amp; Marketing,10.1002/mar.21441,2021,61,14,"PSYCHOLOGY, APPLIED"
0742-6046,Psychology &amp; Marketing,10.1002/mar.21443,2021,2,14,"PSYCHOLOGY, APPLIED"
0278-2626,Brain and Cognition,10.1016/j.bandc.2020.105674,2021,2,326,"PSYCHOLOGY, EXPERIMENTAL"
0145-2134,Child Abuse &amp; Neglect,10.1016/j.chiabu.2020.104888,2021,56,110,"PSYCHOLOGY, SOCIAL"
0191-491X,Studies in Educational Evaluation,10.1016/j.stueduc.2020.100969,2021,0,224,"PSYCHOLOGY, EDUCATIONAL"
0010-9452,Cortex,10.1016/s0010-9452(20)30457-3,2021,0,125,"PSYCHOLOGY, EXPERIMENTAL"
0010-9452,Cortex,10.1016/s0010-9452(20)30461-5,2021,0,125,"PSYCHOLOGY, EXPERIMENTAL"
0142-7164,Applied Psycholinguistics,10.1017/s0142716420000570,2021,21,264,"PSYCHOLOGY, EXPERIMENTAL"
1939-0599,Developmental Psychology,10.1037/dev0001135,2021,19,148,"PSYCHOLOGY, DEVELOPMENTAL"
1931-1516,Emotion,10.1037/emo0000924,2022,12,112,"PSYCHOLOGY, EXPERIMENTAL"
1942-9681,"Psychological Trauma: Theory, Research, Practice, and Policy",10.1037/tra0000624.supp,2021,0,204,"PSYCHOLOGY, CLINICAL"
0306-9885,British Journal of Guidance &amp; Counselling,10.1080/03069885.2020.1860189,2023,1,638,"PSYCHOLOGY, APPLIED"
1385-4046,The Clinical Neuropsychologist,10.1080/13854046.2020.1861329,2021,22,165,PSYCHOLOGY
1385-4046,The Clinical Neuropsychologist,10.1080/13854046.2020.1863563,2022,0,165,PSYCHOLOGY
1740-5629,European Journal of Developmental Psychology,10.1080/17405629.2020.1863211,2021,12,427,"PSYCHOLOGY, DEVELOPMENTAL"
0004-9530,Australian Journal of Psychology,10.1111/ajpy.2018.70.issue-2,2018,0,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0004-9530,Australian Journal of Psychology,10.1111/ajpy.2018.70.issue-3,2018,1,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0004-9530,Australian Journal of Psychology,10.1111/ajpy.v72.1,2020,0,103,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2015.50.issue-1,2015,1,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2015.50.issue-5,2015,1,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2017.52.issue-1,2017,0,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2017.52.issue-3,2017,2,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2018.53.issue-5,2018,0,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.2018.53.issue-s1,2018,0,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-0067,Australian Psychologist,10.1111/ap.v55.1,2020,0,359,"PSYCHOLOGY, MULTIDISCIPLINARY"
1328-4207,Clinical Psychologist,10.1111/cp.2015.19.issue-2,2015,0,576,PSYCHOLOGY
1328-4207,Clinical Psychologist,10.1111/cp.2018.22.issue-2,2018,0,576,PSYCHOLOGY
1363-755X,Developmental Science,10.1111/desc.13080,2021,19,149,"PSYCHOLOGY, DEVELOPMENTAL"
